"id_games","word_length","amount_vowels","amount_consonants","time_find_word","status"
1,11,4,7,0.9305079999976442,1
2,10,5,5,1.0222429999994347,1
3,13,5,8,0.8786399999989953,1
4,8,3,5,1.0662430000011227,1
5,12,5,7,1.0433109999976296,1
6,11,4,7,1.5112030000018422,1
7,5,2,3,2.0724169999994047,1
8,8,4,4,1.6866689999988012,1
9,8,4,4,1.7362489999977697,1
10,12,6,6,0.9411209999998391,1
11,5,2,3,1.5472409999965748,1
12,11,5,6,1.0533030000005965,1
13,7,2,5,0.8820130000021891,1
14,7,3,4,1.8930359999976645,1
15,7,4,3,2.046183000002202,1
16,7,4,3,1.0311779999974533,1
17,15,6,9,0.9216849999975238,1
18,9,4,5,1.717689999997674,1
19,5,2,3,1.8117509999974573,1
20,11,5,6,0.9323130000011588,1
21,13,6,7,1.3344820000056643,1
22,7,3,4,1.614411000002292,1
23,9,3,6,1.374536999996053,1
24,15,7,8,0.8401420000009239,1
25,10,4,6,1.4009649999934481,1
26,10,5,5,0.9362209999962943,1
27,12,7,5,0.8050870000006398,1
28,9,4,5,1.1164389999903506,1
29,7,3,4,1.462243000001763,1
30,8,4,4,1.4176790000055917,1
31,9,4,5,1.4380509999900823,1
32,12,5,7,0.932911999989301,1
33,7,2,5,0.8246090000029653,1
34,11,5,6,0.9967539999925066,1
35,8,4,4,1.0671539999893866,1
36,9,4,5,1.4507680000097025,1
37,13,7,6,0.8443089999927906,1
38,8,4,4,2.01419299999543,1
39,6,3,3,1.8512009999976726,1
40,4,2,2,1.7054300000017975,1
41,13,6,7,0.846493000004557,1
42,7,2,5,0.9713879999908386,1
43,6,3,3,1.8063450000045123,1
44,9,4,5,1.4340070000034757,1
45,6,3,3,1.4260470000008354,1
46,6,3,3,1.4009300000034273,1
47,6,2,4,1.2912070000020321,1
48,8,4,4,1.3905510000040522,1
49,9,5,4,1.2546200000069803,1
50,9,5,4,0.9241719999990892,1
51,10,5,5,0.9017490000114776,1
52,10,5,5,1.3247739999933401,1
