"id_attempts","word_sent","position_array","right_letters_in_wrong_positions","score","try_datetime","id_game","attepmts"
414,"militarmente","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:28.896875","62d4b91a1251332fdf164c5a",3
415,"cultivados","[False, False, False, False, True, False, True, False, True, False]","t",0.4,"2022-07-18T01:36:31.738825","62d4b91e1251332fdf164c5f",1
416,"terminaron","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:32.819002","62d4b91e1251332fdf164c5f",2
417,"ciertas","[False, False, False, False, False, False, False]","i_e_r_t_a",0.42857142857142855,"2022-07-18T01:36:35.559022","62d4b9221251332fdf164c63",1
418,"tambien","[True, False, False, False, True, False, False]","a_m_e_n",0.42857142857142855,"2022-07-18T01:36:36.478700","62d4b9221251332fdf164c63",2
419,"termino","[True, True, True, True, True, True, False]",,0.8571428571428571,"2022-07-18T01:36:37.359007","62d4b9221251332fdf164c63",3
420,"termina","[True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:38.259258","62d4b9221251332fdf164c63",4
421,"cambio","[False, False, False, False, False, False]","a_o",0.16666666666666666,"2022-07-18T01:36:41.101634","62d4b9281251332fdf164c69",1
422,"vuelos","[False, False, False, False, False, False]","e_o",0.16666666666666666,"2022-07-18T01:36:42.019122","62d4b9281251332fdf164c69",2
423,"rodaje","[True, True, True, True, True, True]",,1,"2022-07-18T01:36:42.919478","62d4b9281251332fdf164c69",3
424,"computadores","[False, False, False, False, False, False, False, False, True, False, False, True]","o_m_t_a_r_e",0.5,"2022-07-18T01:36:45.703947","62d4b92c1251332fdf164c6e",1
425,"metamorfosis","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:46.744087","62d4b92c1251332fdf164c6e",2
426,"migraciones","[False, False, False, False, False, False, False, False, False, True, True]","i_r_a_o_n",0.36363636363636365,"2022-07-18T01:36:49.796499","62d4b9301251332fdf164c72",1
427,"judaizantes","[False, False, False, False, False, False, False, False, False, True, True]","d_a_i_n",0.36363636363636365,"2022-07-18T01:36:50.784019","62d4b9301251332fdf164c72",2
428,"flavonoides","[False, False, False, False, False, False, False, False, True, True, True]","a_o_n_o_i",0.6363636363636364,"2022-07-18T01:36:51.759466","62d4b9301251332fdf164c72",3
429,"prioridades","[False, False, False, True, True, True, True, True, True, True, True]",,0.7272727272727273,"2022-07-18T01:36:52.701975","62d4b9301251332fdf164c72",4
430,"sonoridades","[True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:36:53.616584","62d4b9301251332fdf164c72",5
431,"avion","[False, False, False, False, False]","o",0.2,"2022-07-18T01:36:56.259118","62d4b9371251332fdf164c79",1
432,"juego","[False, False, False, False, True]","e",0.4,"2022-07-18T01:36:57.140351","62d4b9371251332fdf164c79",2
433,"exodo","[True, False, True, False, True]",,0.6,"2022-07-18T01:36:58.059361","62d4b9371251332fdf164c79",3
434,"esopo","[True, True, True, True, True]",,1,"2022-07-18T01:36:58.905621","62d4b9371251332fdf164c79",4
435,"cultivos","[False, False, False, False, True, False, True, False]",,0.125,"2022-07-18T01:37:01.796636","62d4b93c1251332fdf164c7f",1
436,"hormigon","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:02.799374","62d4b93c1251332fdf164c7f",2
437,"cultivados","[False, True, False, True, False, False, False, False, False, False]","a_d_s",0.4,"2022-07-18T01:37:05.602705","62d4b9401251332fdf164c83",1
438,"justamente","[False, True, True, True, False, False, False, False, False, False]","a_e_n_t",0.6,"2022-07-18T01:37:06.616598","62d4b9401251332fdf164c83",2
439,"sustentaba","[True, True, True, True, True, True, True, True, False, True]",,0.9,"2022-07-18T01:37:07.519293","62d4b9401251332fdf164c83",3
440,"sustentada","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:08.416636","62d4b9401251332fdf164c83",4
441,"baht","[False, False, False, False]","h",0.25,"2022-07-18T01:37:10.899280","62d4b9461251332fdf164c89",1
442,"hong","[False, False, True, False]","h",0.25,"2022-07-18T01:37:11.716602","62d4b9461251332fdf164c89",2
443,"zinc","[False, True, True, False]",,0.5,"2022-07-18T01:37:12.564639","62d4b9461251332fdf164c89",3
444,"dinh","[True, True, True, True]",,1,"2022-07-18T01:37:13.399803","62d4b9461251332fdf164c89",4
445,"meticulosa","[False, False, True, False, False, False, False, False, False, True]","i_o",0.2,"2022-07-18T01:37:16.256618","62d4b94b1251332fdf164c8f",1
446,"ortografia","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:17.302508","62d4b94b1251332fdf164c8f",2
447,"computadores","[False, False, False, False, False, False, False, False, False, False, False, True]","c_o_p_a_d_o_r",0.5833333333333334,"2022-07-18T01:37:20.037201","62d4b94f1251332fdf164c93",1
448,"planificados","[False, False, False, False, False, False, False, False, True, True, True, True]","p_n_i_c",0.5,"2022-07-18T01:37:21.039341","62d4b94f1251332fdf164c93",2
449,"incorporados","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:22.022801","62d4b94f1251332fdf164c93",3
450,"duracion","[False, False, False, False, False, False, False, False]","a_o",0.125,"2022-07-18T01:37:24.779570","62d4b9531251332fdf164c98",1
451,"alaskeño","[False, False, False, False, False, False, False, True]","a",0.125,"2022-07-18T01:37:25.816649","62d4b9531251332fdf164c98",2
452,"bogotazo","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:26.722297","62d4b9531251332fdf164c98",3
453,"computadores","[False, False, False, False, False, False, False, False, True, False, True, True]","c_t_d",0.3333333333333333,"2022-07-18T01:37:29.462150","62d4b9581251332fdf164c9d",1
454,"distinciones","[True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:30.479322","62d4b9581251332fdf164c9d",2
455,"meticulosa","[False, False, False, True, False, False, False, True, True, False]","e_a",0.3,"2022-07-18T01:37:33.676651","62d4b95c1251332fdf164ca1",1
456,"abriendose","[False, False, False, True, True, True, True, True, True, True]","a_b",0.9,"2022-07-18T01:37:34.771440","62d4b95c1251332fdf164ca1",2
457,"habiendose","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:35.679526","62d4b95c1251332fdf164ca1",3
458,"cultivos","[False, False, False, False, False, False, False, False]","i_o_s",0.125,"2022-07-18T01:37:38.499298","62d4b9611251332fdf164ca6",1
459,"designar","[False, False, False, False, False, False, False, False]","s_i_g_n_a",0.375,"2022-07-18T01:37:39.476743","62d4b9611251332fdf164ca6",2
460,"gymnasio","[True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:40.379018","62d4b9611251332fdf164ca6",3
461,"cultivados","[False, False, False, False, False, False, False, False, False, False]","c_t_i_a_d",0.5,"2022-07-18T01:37:43.079265","62d4b9661251332fdf164cab",1
462,"impregnada","[False, False, False, False, False, False, False, True, True, True]","i_p_r",0.5,"2022-07-18T01:37:44.136858","62d4b9661251332fdf164cab",2
463,"practicada","[True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:45.063240","62d4b9661251332fdf164cab",3
464,"descubria","[False, False, False, False, False, False, True, True, False]","c_a",0.3333333333333333,"2022-07-18T01:37:47.939712","62d4b96a1251332fdf164cb0",1
465,"contrario","[True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:48.981669","62d4b96a1251332fdf164cb0",2
466,"categorizando","[False, False, False, False, False, False, False, False, False, False, False, False, True]","c_a_t_e_o_a_n",0.46153846153846156,"2022-07-18T01:37:51.603652","62d4b96e1251332fdf164cb4",1
467,"subcampeonato","[True, True, True, True, True, True, True, True, True, True, True, True, True]",,1,"2022-07-18T01:37:52.602232","62d4b96e1251332fdf164cb4",2
468,"punto","[False, False, False, False, False]",,0,"2022-07-18T01:37:55.219359","62d4b9721251332fdf164cb8",1
469,"sirve","[False, False, False, False, False]","i",0.2,"2022-07-18T01:37:56.138935","62d4b9721251332fdf164cb8",2
470,"clima","[False, False, False, False, False]","i_m_a",0.4,"2022-07-18T01:37:56.999738","62d4b9721251332fdf164cb8",3
471,"ambig","[False, False, False, True, False]","a_m",0.4,"2022-07-18T01:37:57.859674","62d4b9721251332fdf164cb8",4
